U+304B	か	e3 81 8b	HIRAGANA LETTER KA
U+304C	が	e3 81 8c	HIRAGANA LETTER GA
U+304D	き	e3 81 8d	HIRAGANA LETTER KI
U+304E	ぎ	e3 81 8e	HIRAGANA LETTER GI
U+304F	く	e3 81 8f	HIRAGANA LETTER KU
U+3050	ぐ	e3 81 90	HIRAGANA LETTER GU
U+3051	け	e3 81 91	HIRAGANA LETTER KE
U+3052	げ	e3 81 92	HIRAGANA LETTER GE
U+3053	こ	e3 81 93	HIRAGANA LETTER KO
U+3054	ご	e3 81 94	HIRAGANA LETTER GO
U+3055	さ	e3 81 95	HIRAGANA LETTER SA
U+3056	ざ	e3 81 96	HIRAGANA LETTER ZA
U+3057	し	e3 81 97	HIRAGANA LETTER SI
U+3058	じ	e3 81 98	HIRAGANA LETTER ZI
U+3059	す	e3 81 99	HIRAGANA LETTER SU
U+305A	ず	e3 81 9a	HIRAGANA LETTER ZU
U+305B	せ	e3 81 9b	HIRAGANA LETTER SE
U+305C	ぜ	e3 81 9c	HIRAGANA LETTER ZE
U+305D	そ	e3 81 9d	HIRAGANA LETTER SO
U+305E	ぞ	e3 81 9e	HIRAGANA LETTER ZO
U+305F	た	e3 81 9f	HIRAGANA LETTER TA
U+3060	だ	e3 81 a0	HIRAGANA LETTER DA
U+3061	ち	e3 81 a1	HIRAGANA LETTER TI
U+3062	ぢ	e3 81 a2	HIRAGANA LETTER DI
U+3064	つ	e3 81 a4	HIRAGANA LETTER TU
U+3065	づ	e3 81 a5	HIRAGANA LETTER DU
U+3066	て	e3 81 a6	HIRAGANA LETTER TE
U+3067	で	e3 81 a7	HIRAGANA LETTER DE
U+3068	と	e3 81 a8	HIRAGANA LETTER TO
U+3069	ど	e3 81 a9	HIRAGANA LETTER DO
U+306F	は	e3 81 af	HIRAGANA LETTER HA
U+3070	ば	e3 81 b0	HIRAGANA LETTER BA
U+3071	ぱ	e3 81 b1	HIRAGANA LETTER PA
U+3072	ひ	e3 81 b2	HIRAGANA LETTER HI
U+3073	び	e3 81 b3	HIRAGANA LETTER BI
U+3074	ぴ	e3 81 b4	HIRAGANA LETTER PI
U+3075	ふ	e3 81 b5	HIRAGANA LETTER HU
U+3076	ぶ	e3 81 b6	HIRAGANA LETTER BU
U+3077	ぷ	e3 81 b7	HIRAGANA LETTER PU
U+3078	へ	e3 81 b8	HIRAGANA LETTER HE
U+3079	べ	e3 81 b9	HIRAGANA LETTER BE
U+307A	ぺ	e3 81 ba	HIRAGANA LETTER PE
U+307B	ほ	e3 81 bb	HIRAGANA LETTER HO
U+307C	ぼ	e3 81 bc	HIRAGANA LETTER BO
U+307D	ぽ	e3 81 bd	HIRAGANA LETTER PO
U+3046	う	e3 81 86	HIRAGANA LETTER U
U+3094	ゔ	e3 82 94	HIRAGANA LETTER VU


U+3041	ぁ	e3 81 81	HIRAGANA LETTER SMALL A
U+3042	あ	e3 81 82	HIRAGANA LETTER A
U+3043	ぃ	e3 81 83	HIRAGANA LETTER SMALL I
U+3044	い	e3 81 84	HIRAGANA LETTER I
U+3045	ぅ	e3 81 85	HIRAGANA LETTER SMALL U
U+3047	ぇ	e3 81 87	HIRAGANA LETTER SMALL E
U+3048	え	e3 81 88	HIRAGANA LETTER E
U+3049	ぉ	e3 81 89	HIRAGANA LETTER SMALL O
U+304A	お	e3 81 8a	HIRAGANA LETTER O
U+3063	っ	e3 81 a3	HIRAGANA LETTER SMALL TU
U+306A	な	e3 81 aa	HIRAGANA LETTER NA
U+306B	に	e3 81 ab	HIRAGANA LETTER NI
U+306C	ぬ	e3 81 ac	HIRAGANA LETTER NU
U+306D	ね	e3 81 ad	HIRAGANA LETTER NE
U+306E	の	e3 81 ae	HIRAGANA LETTER NO
U+307E	ま	e3 81 be	HIRAGANA LETTER MA
U+307F	み	e3 81 bf	HIRAGANA LETTER MI
U+3080	む	e3 82 80	HIRAGANA LETTER MU
U+3081	め	e3 82 81	HIRAGANA LETTER ME
U+3082	も	e3 82 82	HIRAGANA LETTER MO
U+3083	ゃ	e3 82 83	HIRAGANA LETTER SMALL YA
U+3084	や	e3 82 84	HIRAGANA LETTER YA
U+3085	ゅ	e3 82 85	HIRAGANA LETTER SMALL YU
U+3086	ゆ	e3 82 86	HIRAGANA LETTER YU
U+3087	ょ	e3 82 87	HIRAGANA LETTER SMALL YO
U+3088	よ	e3 82 88	HIRAGANA LETTER YO
U+3089	ら	e3 82 89	HIRAGANA LETTER RA
U+308A	り	e3 82 8a	HIRAGANA LETTER RI
U+308B	る	e3 82 8b	HIRAGANA LETTER RU
U+308C	れ	e3 82 8c	HIRAGANA LETTER RE
U+308D	ろ	e3 82 8d	HIRAGANA LETTER RO
U+308E	ゎ	e3 82 8e	HIRAGANA LETTER SMALL WA
U+308F	わ	e3 82 8f	HIRAGANA LETTER WA
U+3090	ゐ	e3 82 90	HIRAGANA LETTER WI
U+3091	ゑ	e3 82 91	HIRAGANA LETTER WE
U+3092	を	e3 82 92	HIRAGANA LETTER WO
U+3093	ん	e3 82 93	HIRAGANA LETTER N
U+3095	ゕ	e3 82 95	HIRAGANA LETTER SMALL KA
U+3096	ゖ	e3 82 96	HIRAGANA LETTER SMALL KE