U+3099	゙	e3 82 99	COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK
U+309A	゚	e3 82 9a	COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
U+309D	ゝ	e3 82 9d	HIRAGANA ITERATION MARK
U+309E	ゞ	e3 82 9e	HIRAGANA VOICED ITERATION MARK
U+30AB	カ	e3 82 ab	KATAKANA LETTER KA
U+30AC	ガ	e3 82 ac	KATAKANA LETTER GA
U+30AD	キ	e3 82 ad	KATAKANA LETTER KI
U+30AE	ギ	e3 82 ae	KATAKANA LETTER GI
U+30AF	ク	e3 82 af	KATAKANA LETTER KU
U+30B0	グ	e3 82 b0	KATAKANA LETTER GU
U+30B1	ケ	e3 82 b1	KATAKANA LETTER KE
U+30B2	ゲ	e3 82 b2	KATAKANA LETTER GE
U+30B3	コ	e3 82 b3	KATAKANA LETTER KO
U+30B4	ゴ	e3 82 b4	KATAKANA LETTER GO
U+30B5	サ	e3 82 b5	KATAKANA LETTER SA
U+30B6	ザ	e3 82 b6	KATAKANA LETTER ZA
U+30B7	シ	e3 82 b7	KATAKANA LETTER SI
U+30B8	ジ	e3 82 b8	KATAKANA LETTER ZI
U+30B9	ス	e3 82 b9	KATAKANA LETTER SU
U+30BA	ズ	e3 82 ba	KATAKANA LETTER ZU
U+30BB	セ	e3 82 bb	KATAKANA LETTER SE
U+30BC	ゼ	e3 82 bc	KATAKANA LETTER ZE
U+30BD	ソ	e3 82 bd	KATAKANA LETTER SO
U+30BE	ゾ	e3 82 be	KATAKANA LETTER ZO
U+30BF	タ	e3 82 bf	KATAKANA LETTER TA
U+30C0	ダ	e3 83 80	KATAKANA LETTER DA
U+30C1	チ	e3 83 81	KATAKANA LETTER TI
U+30C2	ヂ	e3 83 82	KATAKANA LETTER DI
U+30C4	ツ	e3 83 84	KATAKANA LETTER TU
U+30C5	ヅ	e3 83 85	KATAKANA LETTER DU
U+30C6	テ	e3 83 86	KATAKANA LETTER TE
U+30C7	デ	e3 83 87	KATAKANA LETTER DE
U+30C8	ト	e3 83 88	KATAKANA LETTER TO
U+30C9	ド	e3 83 89	KATAKANA LETTER DO
U+30CF	ハ	e3 83 8f	KATAKANA LETTER HA
U+30D0	バ	e3 83 90	KATAKANA LETTER BA
U+30D1	パ	e3 83 91	KATAKANA LETTER PA
U+30D2	ヒ	e3 83 92	KATAKANA LETTER HI
U+30D3	ビ	e3 83 93	KATAKANA LETTER BI
U+30D4	ピ	e3 83 94	KATAKANA LETTER PI
U+30D5	フ	e3 83 95	KATAKANA LETTER HU
U+30D6	ブ	e3 83 96	KATAKANA LETTER BU
U+30D7	プ	e3 83 97	KATAKANA LETTER PU
U+30D8	ヘ	e3 83 98	KATAKANA LETTER HE
U+30D9	ベ	e3 83 99	KATAKANA LETTER BE
U+30DA	ペ	e3 83 9a	KATAKANA LETTER PE
U+30DB	ホ	e3 83 9b	KATAKANA LETTER HO
U+30DC	ボ	e3 83 9c	KATAKANA LETTER BO
U+30DD	ポ	e3 83 9d	KATAKANA LETTER PO
U+30A6	ウ	e3 82 a6	KATAKANA LETTER U
U+30F4	ヴ	e3 83 b4	KATAKANA LETTER VU
U+30EF	ワ	e3 83 af	KATAKANA LETTER WA
U+30F7	ヷ	e3 83 b7	KATAKANA LETTER VA
U+30F0	ヰ	e3 83 b0	KATAKANA LETTER WI
U+30F8	ヸ	e3 83 b8	KATAKANA LETTER VI
U+30F1	ヱ	e3 83 b1	KATAKANA LETTER WE
U+30F9	ヹ	e3 83 b9	KATAKANA LETTER VE
U+30F2	ヲ	e3 83 b2	KATAKANA LETTER WO
U+30FA	ヺ	e3 83 ba	KATAKANA LETTER VO
U+30FD	ヽ	e3 83 bd	KATAKANA ITERATION MARK
U+30FE	ヾ	e3 83 be	KATAKANA VOICED ITERATION MARK





U+309F	ゟ	e3 82 9f	HIRAGANA DIGRAPH YORI
U+30A0	゠	e3 82 a0	KATAKANA-HIRAGANA DOUBLE HYPHEN
U+30A1	ァ	e3 82 a1	KATAKANA LETTER SMALL A
U+30A2	ア	e3 82 a2	KATAKANA LETTER A
U+30A3	ィ	e3 82 a3	KATAKANA LETTER SMALL I
U+30A4	イ	e3 82 a4	KATAKANA LETTER I
U+30A5	ゥ	e3 82 a5	KATAKANA LETTER SMALL U
U+30A7	ェ	e3 82 a7	KATAKANA LETTER SMALL E
U+30A8	エ	e3 82 a8	KATAKANA LETTER E
U+30A9	ォ	e3 82 a9	KATAKANA LETTER SMALL O
U+30AA	オ	e3 82 aa	KATAKANA LETTER O
U+30CA	ナ	e3 83 8a	KATAKANA LETTER NA
U+30CB	ニ	e3 83 8b	KATAKANA LETTER NI
U+30CC	ヌ	e3 83 8c	KATAKANA LETTER NU
U+30CD	ネ	e3 83 8d	KATAKANA LETTER NE
U+30CE	ノ	e3 83 8e	KATAKANA LETTER NO
U+30DE	マ	e3 83 9e	KATAKANA LETTER MA
U+30DF	ミ	e3 83 9f	KATAKANA LETTER MI
U+30E0	ム	e3 83 a0	KATAKANA LETTER MU
U+30E1	メ	e3 83 a1	KATAKANA LETTER ME
U+30E2	モ	e3 83 a2	KATAKANA LETTER MO
U+30E3	ャ	e3 83 a3	KATAKANA LETTER SMALL YA
U+30E4	ヤ	e3 83 a4	KATAKANA LETTER YA
U+30E5	ュ	e3 83 a5	KATAKANA LETTER SMALL YU
U+30E6	ユ	e3 83 a6	KATAKANA LETTER YU
U+30E7	ョ	e3 83 a7	KATAKANA LETTER SMALL YO
U+30E8	ヨ	e3 83 a8	KATAKANA LETTER YO
U+30E9	ラ	e3 83 a9	KATAKANA LETTER RA
U+30EA	リ	e3 83 aa	KATAKANA LETTER RI
U+30EB	ル	e3 83 ab	KATAKANA LETTER RU
U+30EC	レ	e3 83 ac	KATAKANA LETTER RE
U+30ED	ロ	e3 83 ad	KATAKANA LETTER RO
U+30EE	ヮ	e3 83 ae	KATAKANA LETTER SMALL WA
U+30FB	・	e3 83 bb	KATAKANA MIDDLE DOT
U+30FC	ー	e3 83 bc	KATAKANA-HIRAGANA PROLONGED SOUND MARK
U+30FF	ヿ	e3 83 bf	KATAKANA DIGRAPH KOTO
U+30F3	ン	e3 83 b3	KATAKANA LETTER N
U+30F5	ヵ	e3 83 b5	KATAKANA LETTER SMALL KA
U+30F6	ヶ	e3 83 b6	KATAKANA LETTER SMALL KE
U+30C3	ッ	e3 83 83	KATAKANA LETTER SMALL TU